nick,sig,date,text,forward,comment,like,topic
遂川政法,微博官方认证,2022-01-01,【“你们不要吃方便面了，对身体不好”】#一线微观#连日来，陕西杨凌示范区公安局交巡警支队全体民辅警舍小家为大家，全员坚守一线，全力抗击疫情，保障抗疫物资、民生物资运输，日常多以泡面充饥。2021年12月30日凌晨2点，当地一家企业员工做好热气腾腾的饺子，送给寒夜里仍坚守在执勤卡点的民警，并​,0,1,0,-1
互因科技,微博官方认证,2022-01-01,【#特殊时期警惕嗅觉味觉突然改变#：#新发的嗅觉味觉改变是新冠临床症状之一#】近一周以来，西安的疫情发展迅速，疫情防控形势依旧严峻复杂。据西安交大二附院耳鼻咽喉头颈外科专家介绍，多项关于新冠肺炎的研究显示：新发的嗅觉味觉改变是新冠肺炎的临床症状之一，在我国第八版新冠肺炎诊疗方案（修订​,0,0,0,232
咚你意思了,未认证,2022-01-01,据@九派新闻报道：12月30日，陕西西安。疫情期间，房东明先生给81位房客免费分批做饭。他介绍，房客都是学生不会做饭，小区封控后他们只能吃泡面。他了解情况后，从27日起开始给81位房客做饭。L宅男谁怕谁的微博视频​,0,0,0,119
延安万象,微博个人认证,2022-01-01,【#陕西长安竞技门将王琦为西安加油#】1月1日，陕西长安竞技门将王琦为西安加油！寒冬终将过去，我们必将战胜疫情，向每一位奋战在一线的医护人员，、防疫人员、志愿者们致敬！L华商网的微博视频​​​,0,0,1,-1
贵阳市人民政府网,微博官方认证,2022-01-01,【刚刚，贵州发布最新疫情防控8提示】当前，全国新冠疫情形势严峻复杂。2021年12月15-31日，陕西延安市累计报告新冠肺炎本土确诊病例11例，现有中风险地区4个；12月31日，河南洛阳市新增本土无症状感染者4例，目前疫情传播链尚不明确；2022年1月1日，浙江宁波市报告发现新冠肺炎本土确诊病例1例，现有​,0,0,0,218
陕视新闻,微博官方认证,2022-01-01,#同心战疫陕西加油#【“00后”也挑起了一方责任和担当！】西安医学院的一名大一的学生志愿者小刘，在给封闭管理的同学们送完物资和热水后，开心地“飞起”～十八九岁的他们，脱掉大白服还是一名稚嫩的学生，穿上这身衣服，也挑起了一方责任和担当！好样的！#疫情就是命令防控就是责任#（记者：韩​,3,7,50,-1
榆林高新交警大队,微博官方认证,2022-01-01,#节日我在岗#高新大队督导检查“元旦”假期值班备勤及疫情防控工作2022年1月1日晚，高新大队大队长带领督查中队到各外勤中队，督导检查“元旦”期间值班备勤及疫情防控工作。每到一处，大队长雷涛都与执勤民辅警亲切交谈，详细询问了“元旦”假期及疫情防控期间的勤务安排、民警安全防​,0,1,1,-1
史于初见,未认证,2022-01-01,作为陕西人的我都觉得西安这次是真的过分了，伤了多少人的心❤️就想想打人这件事情给这位年轻小伙心理造成的阴影，这次疫情好多人都是租房子住平常也不做饭，房子里啥也没有，这么长的时间很多人每天都只吃一顿饭，我觉得作为小区的物业或者防疫人员都不应该作出打人的这一行为，但凡家里有口吃的，​,3,87,194,-1
晶小白小晶,微博个人认证,2022-01-01,疫情来临，陪伴观众20年的《都市快报》都没来得及庆祝自己20岁生日。和《快报》在一起的那段漫长又短暂的岁月是我人生中最宝贵的经历。无论后来岗位如何变化，骨子里，我还是那个战地记者。如果说西安电视台是我的少年，那陕西电视台便是我美好的青春期。当然，我目前的少妇期也是陕西电视台[破涕为笑]​,0,16,7,30
郑州康宁志愿互助中心,微博官方认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#：以前3小时的任务现在只要3分钟】1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带​,0,0,3,33
